id,make,model,currency,price,millage,year,promoted,sold,created_on,dealer
11697460737087118,Hyundai,I40,BGN,19500,152000,2013,true,true,2023-10-27,DEALER
21694768367083036,Hyundai,IX35,BGN,0,138168,2011,true,true,2023-10-27,DEALER
21691596410288289,Kia,Sportage,BGN,33990,158000,2017,true,true,2023-10-27,DEALER
11692731434696623,Mazda,3,BGN,6799,227166,2005,true,true,2023-10-27,DEALER
11698070485402750,Mercedes-Benz,150,BGN,6900,147000,2007,true,true,2023-10-27,DEALER
11698080086363760,Mercedes-Benz,C,BGN,14900,226000,2008,true,true,2023-10-27,DEALER
11695728356479958,Mercedes-Benz,C,BGN,24999,160000,2013,true,true,2023-10-27,DEALER
11697286918079201,Mercedes-Benz,C,BGN,13400,255000,2009,true,true,2023-10-27,DEALER
11696411786383901,Mercedes-Benz,C,BGN,14900,224000,2008,true,true,2023-10-27,DEALER
11674161160089710,Mercedes-Benz,C,BGN,14999,257500,2012,true,true,2023-10-27,DEALER
11697748117441918,Mercedes-Benz,C,BGN,0,280000,2008,true,true,2023-10-27,DEALER
11696397207025491,Mercedes-Benz,Citan,BGN,20500,112300,2020,true,true,2023-10-27,DEALER
11697792500176561,Mercedes-Benz,CLA,BGN,32555,169000,2017,true,true,2023-10-27,DEALER
11685355381939278,Mercedes-Benz,CLS,BGN,21999,268000,2006,true,true,2023-10-27,DEALER
21690891390682321,BMW,X3,BGN,26999,207000,2013,true,false,2023-10-27,DEALER
21690891390682321,BMW,X3,BGN,26999,207000,2013,true,false,2023-10-27,DEALER
11696586583984068,BMW,730,BGN,22999,221000,2010,true,false,2023-10-27,DEALER
21695325471501645,Audi,Q7,BGN,15999,224000,2007,true,false,2023-10-27,DEALER
21692339469119628,Land,Rover,EUR,114300,25,2023,true,false,2023-10-27,DEALER
11692338465228425,BMW,XM,EUR,151800,34,2023,true,false,2023-10-27,DEALER
21696680384324375,BMW,X7,BGN,228000,41,2023,true,false,2023-10-27,DEALER
21694257622320095,BMW,X6,BGN,217000,11,2023,true,false,2023-10-27,DEALER
21698228341179865,BMW,X6,BGN,180000,12,2023,true,false,2023-10-27,DEALER
21694260913527224,BMW,X5,BGN,218000,36,2023,true,false,2023-10-27,DEALER
11690195179731631,BMW,iX,BGN,125800,33,2023,true,false,2023-10-27,DEALER
