id,make,model,currency,price,millage,year,promoted,sold,created_on,,
21662123005644312,Hyundai,Santa,BGN,48500,34000,2020,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21662123005644312&slink=s4maga,2023-04-24,DEALER
21679992134019122,Hyundai,Tucson,BGN,0,34000,2022,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21679992134019122&slink=s4maga,2023-04-24,DEALER
11681119439351855,Kia,Venga,BGN,0,160000,2014,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11681119439351855&slink=s4maga,2023-04-24,DEALER
21667486348349932,Land,Rover,BGN,35500,192849,2013,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21667486348349932&slink=s4maga,2023-04-24,DEALER
11669215910921968,Lexus,RC,BGN,58500,64000,2015,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11669215910921968&slink=s4maga,2023-04-24,DEALER
11681827114296846,Mazda,6,BGN,3900,210000,2002,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11681827114296846&slink=s4maga,2023-04-24,DEALER
21677795233215726,Mazda,СХ-3,BGN,33970,95251,2016,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21677795233215726&slink=s4maga,2023-04-24,DEALER
11682012803181240,Mercedes-Benz,B,BGN,14900,173000,2013,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11682012803181240&slink=s4maga,2023-04-24,DEALER
11674161160089710,Mercedes-Benz,C,BGN,10999,213500,2010,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11674161160089710&slink=s4maga,2023-04-24,DEALER
11676883252476347,Mercedes-Benz,E,BGN,69999,132304,2018,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11676883252476347&slink=s4maga,2023-04-24,DEALER
21649919852857703,Mercedes-Benz,GLC,BGN,65000,105000,2016,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21649919852857703&slink=s4maga,2023-04-24,DEALER
21666463224225815,Mercedes-Benz,ML,BGN,19999,178000,2009,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21666463224225815&slink=s4maga,2023-04-24,DEALER
21678087382825518,Mercedes-Benz,ML,BGN,43500,182000,2013,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21678087382825518&slink=s4maga,2023-04-24,DEALER
21678087382825518,Mercedes-Benz,ML,BGN,43500,182000,2013,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21678087382825518&slink=s4maga,2023-04-24,DEALER
11680244515960688,Mini,Cooper,BGN,5500,164000,2003,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11680244515960688&slink=s4maga,2023-04-24,DEALER
11669733835687846,Mini,Cooper,BGN,54900,12720,2020,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11669733835687846&slink=s4maga,2023-04-24,DEALER
21681819117747711,Mitsubishi,ASX,BGN,18990,151000,2013,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21681819117747711&slink=s4maga,2023-04-24,DEALER
11642507772031600,Mitsubishi,Colt,BGN,5290,175000,2007,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11642507772031600&slink=s4maga,2023-04-24,DEALER
21680008762550361,Mitsubishi,Pajero,BGN,6899,191634,1996,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21680008762550361&slink=s4maga,2023-04-24,DEALER
21657457593426684,Nissan,Juke,BGN,15900,241000,2013,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21657457593426684&slink=s4maga,2023-04-24,DEALER
11661268233522488,Nissan,Leaf,BGN,21900,54000,2013,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11661268233522488&slink=s4maga,2023-04-24,DEALER
21679758923111425,Nissan,Qashqai,BGN,13299,236000,2011,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21679758923111425&slink=s4maga,2023-04-24,DEALER
21664869535897335,Nissan,Qashqai,BGN,19900,198000,2014,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21664869535897335&slink=s4maga,2023-04-24,DEALER
11672815384131886,Opel,Adam,BGN,11900,120000,2013,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11672815384131886&slink=s4maga,2023-04-24,DEALER
11668239044638300,Opel,Astra,BGN,5300,231000,2004,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11668239044638300&slink=s4maga,2023-04-24,DEALER
