id,make,model,currency,price,millage,year,promoted,sold,created_on
21671455634443779,Maserati,Levante,BGN,233205,45,2022,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21671455634443779&slink=s3gfw0,2023-04-19
11680707686588348,Mercedes-Benz,B,BGN,10500,103000,2008,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11680707686588348&slink=s3gfw0,2023-04-19
11655122392652024,Mercedes-Benz,C,BGN,4995,165029,1997,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11655122392652024&slink=s3gfw0,2023-04-19
11673970793141279,Mercedes-Benz,C,BGN,42000,64000,2019,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11673970793141279&slink=s3gfw0,2023-04-19
11677787572341996,Mercedes-Benz,C,BGN,59000,47600,2016,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11677787572341996&slink=s3gfw0,2023-04-19
11676726384386887,Mercedes-Benz,CLC,BGN,12350,167000,2010,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11676726384386887&slink=s3gfw0,2023-04-19
11343506995214919,Mercedes-Benz,E,BGN,4554,122824,1998,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11343506995214919&slink=s3gfw0,2023-04-19
11679508774489823,Mercedes-Benz,E,BGN,12999,202000,2008,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11679508774489823&slink=s3gfw0,2023-04-19
21681479399240578,Mitsubishi,L200,BGN,13500,175321,2000,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21681479399240578&slink=s3gfw0,2023-04-19
21678888134918270,Nissan,Pathfinder,BGN,0,234000,2009,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21678888134918270&slink=s3gfw0,2023-04-19
21680877676797848,Nissan,Qashqai,BGN,12500,193000,2009,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21680877676797848&slink=s3gfw0,2023-04-19
21679228202879840,Opel,Antara,BGN,10799,212491,2008,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21679228202879840&slink=s3gfw0,2023-04-19
11680671026494386,Opel,Astra,BGN,2199,203200,1998,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11680671026494386&slink=s3gfw0,2023-04-19
