id,make,model,price,promoted,sold,millage,year,currency,created_on,updated_on
11647947616184578,Ferrari,F8,323626,false,true,55,2022,EUR,1681308149,
11678124481175781,Mercedes-Benz,A,1750,true,true,224765,2000,BGN,1681308111,
11670605433033397,Ford,Focus,11990,false,true,198550,2012,BGN,1681308154,
11679596631290193,Fiat,Bravo,4100,true,true,262415,2007,BGN,1681308100,
11671193947360685,Peugeot,508,36555,false,true,98777,2020,BGN,1681308217,
21680875809720873,Mazda,CX-5,44900,false,true,60000,2020,BGN,1681308185,
21680254323766750,Honda,Cr-v,10999,true,true,180000,2003,BGN,1681308100,
11675007798538564,Toyota,Auris,19999,false,true,230445,2015,BGN,1681308230,
11670520045579946,Volvo,V50,0,false,true,212000,2010,BGN,1681308247,
11679594118003031,Audi,A4,10500,false,true,287000,2004,BGN,1681308131,
11678882428808249,Smart,Forfour,25000,false,true,22000,2018,BGN,1681308226,
11521544220620108,Mitsubishi,Eclipse,13999,false,true,83000,2007,BGN,1681308212,
11678349876222718,BMW,325,9990,true,true,188973,2007,BGN,1681308095,
21679830785282437,Mercedes-Benz,GLA,0,false,true,244000,2015,BGN,1681308206,
11557503814953412,Mercedes-Benz,C,12000,false,true,207491,2008,BGN,1681308193,
11679123629545130,Honda,Accord,17900,false,true,167337,2011,BGN,1681308154,
21665897138260231,Hyundai,Santa,37888,false,true,156000,2014,BGN,1681308163,
21673452999457147,Nissan,Qashqai,23899,false,true,215000,2015,BGN,1681308212,
21680091784894538,Nissan,Qashqai,12995,false,true,120184,2011,BGN,1681308212,
11679488048505232,VW,Touran,6777,true,true,238776,2005,BGN,1681308131,
21676209669126032,Audi,Q5,26200,false,true,178000,2015,BGN,1681308139,
11674903553387542,Peugeot,301,20900,false,true,114284,2019,BGN,1681308217,
21679332420368442,Mercedes-Benz,ML,16200,false,true,187000,2008,BGN,1681308206,
11583961472406920,Kia,Carnival,62900,false,true,16000,2019,BGN,1681308176,
11658988484502536,VW,Touran,0,true,true,174273,2016,BGN,1681308094,
11588598581130623,Citroen,C,13995,false,true,60477,2011,BGN,1681308147,
21676370228651099,Fiat,Freemont,0,false,true,179351,2012,BGN,1681308149,
11677766991186008,Renault,Clio,12500,false,true,167535,2017,BGN,1681308224,
11679901576135458,Audi,A6,45000,false,true,249000,2015,BGN,1681308139,
11678739343074182,Alfa,Romeo,5997,false,true,167953,2007,BGN,1681308131,
11680953444999883,Mercedes-Benz,C,3999,true,true,186000,2002,BGN,1681308111,
11652890747593773,Mercedes-Benz,E,0,false,true,167000,2017,BGN,1681308197,
21679563662836208,Mercedes-Benz,ML,14500,true,true,198000,2008,BGN,1681308094,
11664210810433579,Subaru,XV,42500,true,true,9908,2021,BGN,1681308121,
11670277437303375,Mercedes-Benz,E,12900,true,true,195000,2008,BGN,1681308094,
11678677201818736,Subaru,Forester,39999,false,true,79000,2014,BGN,1681308226,
21679326846899269,Jeep,Wrangler,90300,false,true,21900,2020,BGN,1681308175,
11679585655986029,BMW,M4,99000,false,true,31000,2019,BGN,1681308146,
11676020562926508,Peugeot,108,14999,false,true,114175,2018,BGN,1681308217,
11680793862931768,Jaguar,X-type,5399,true,true,198000,2004,BGN,1681308100,
21676400009557530,BMW,X7,254500,false,true,50,2023,BGN,1681308147,
11679296800211909,VW,Passat,3666,false,true,293711,2003,BGN,1681308252,
21677899070382749,Hyundai,Santa,35990,true,true,145400,2014,BGN,1681308094,
11679556778466956,Honda,Accord,14400,false,true,223850,2010,BGN,1681308154,
21678694014061859,Mercedes-Benz,GLC,47000,false,true,9000,2022,BGN,1681308206,
21677774911425458,Porsche,Cayenne,44888,false,true,158800,2012,BGN,1681308224,
21614684360229271,Hyundai,Tucson,82500,false,true,204,2022,BGN,1681308171,
11604148104392762,Kia,Optima,28500,false,true,35000,2015,BGN,1681308176,
11671883023567541,Smart,Forfour,33700,false,true,17200,2020,BGN,1681308226,
21668723816381075,VW,Touareg,0,false,true,157000,2011,BGN,1681308252,
11678718140789539,Mercedes-Benz,E,10500,false,true,180000,2006,BGN,1681308197,
11675350930286329,VW,Golf,12700,true,true,145000,2011,BGN,1681308131,
21658962045596068,Toyota,Sequoia,37500,false,true,251560,2008,BGN,1681308240,
11678823452610740,Skoda,Superb,37900,false,true,178731,2017,BGN,1681308226,
11651674056324432,Mazda,2,16999,true,true,131000,2016,BGN,1681308100,
21675113642723622,Hyundai,Santa,36888,false,true,152000,2014,BGN,1681308163,
11664791671349103,BMW,116,18995,false,true,107560,2011,BGN,1681308145,
21671268113692343,VW,Tiguan,36600,false,true,179000,2016,BGN,1681308252,
11664893223576833,VW,Golf,29990,false,true,123872,2018,BGN,1681308252,
11679326776944279,Peugeot,207,5300,false,true,150000,2007,BGN,1681308217,
11675199813766472,BMW,330,43800,false,true,190790,2018,BGN,1681308146,
11678107020542932,Renault,Megane,13300,false,true,120000,2015,BGN,1681308224,
11479481919014410,Skoda,Roomster,10300,false,true,100000,2011,BGN,1681308226,
21672689297878579,Honda,Cr-v,14444,false,true,195714,2005,BGN,1681308154,
11675091722036178,Kia,Optima,29999,false,true,87400,2018,BGN,1681308176,
11666363782027593,Hyundai,Bayon,40900,false,true,0,0,BGN,1681308163,
11680419874334127,Mercedes-Benz,C,5999,false,true,184638,2006,BGN,1681308193,
11679677824856363,Peugeot,407,5999,true,true,175400,2005,BGN,1681308121,
11678306163779307,Mazda,3,9899,false,true,102300,2009,BGN,1681308185,
11671965933869016,Suzuki,Swift,7400,false,true,149283,2007,BGN,1681308230,
11679473797649529,Peugeot,308,25999,false,true,146306,2019,BGN,1681308217,
11673546180842859,Skoda,Superb,59800,false,true,76000,2019,BGN,1681308226,
11680636670904303,Toyota,Verso,16400,false,true,205000,2013,BGN,1681308240,
21680530183438607,Mercedes-Benz,GLK,20900,true,true,178000,2011,BGN,1681308111,
21676891065270090,Honda,Cr-v,13900,false,true,185926,2007,BGN,1681308154,
21676831205942435,Mercedes-Benz,ML,43999,false,true,198000,2014,BGN,1681308206,
21669302060834321,Land,Rover,89500,false,true,160000,2016,BGN,1681308185,
11673788021296587,BMW,520,9500,false,true,170000,2006,BGN,1681308146,
11677323285177023,Renault,Megane,16000,false,true,206529,2016,BGN,1681308224,
11678281369506330,Mercedes-Benz,S,29999,false,true,308000,2010,BGN,1681308206,
11674580892997061,Opel,Astra,0,false,true,167951,2006,BGN,1681308213,
11584730724907975,Fiat,Sedici,7500,false,true,182421,2006,BGN,1681308154,
11642507772031600,Mitsubishi,Colt,5290,true,true,175000,2007,BGN,1681308111,
21672173522414173,Mercedes-Benz,ML,19990,true,true,274545,2008,BGN,1681308111,
11674745557003968,Toyota,Corolla,7800,false,true,234000,2008,BGN,1681308240,
21678287024435989,Land,Rover,85000,false,true,220000,2015,BGN,1681308185,
11680264798114768,VW,Passat,29400,true,true,159351,2019,BGN,1681308131,
21680956788385956,Honda,Cr-v,17299,false,true,152748,2008,BGN,1681308154,
11678339403554364,VW,Alltrack,33700,true,true,185000,2015,BGN,1681308131,
11668032135610340,BMW,330,16700,true,true,161000,2017,BGN,1681308095,
11662970799134480,Subaru,Forester,0,true,true,184308,2013,BGN,1681308121,
11599822417073327,Kia,Optima,28200,false,true,48655,2016,BGN,1681308176,
11668078295099012,Kia,Carnival,0,false,true,179531,2006,BGN,1681308176,
11679603440671076,Mercedes-Benz,E,11999,true,true,251300,2008,BGN,1681308111,
11679240604076603,Mercedes-Benz,C,36500,false,true,136000,2018,BGN,1681308193,
11679153362383718,Fiat,Panda,3600,false,true,194421,2005,BGN,1681308149,
21679154996271226,Land,Rover,19800,false,true,204134,2006,BGN,1681308185,
11673010893026522,Mercedes-Benz,CL,0,false,true,156000,2008,BGN,1681308193,
11669733835687846,Mini,Cooper,54900,true,true,12720,2020,BGN,1681308111,
21669709947548996,Daewoo,Musso,5000,false,true,230000,1999,BGN,1681308149,
11679395614648177,Audi,S8,83000,true,true,144000,2015,BGN,1681308095,
11673883694634805,Skoda,Superb,37860,false,true,122048,2018,BGN,1681308226,
11680285927911811,Peugeot,Partner,10800,false,true,217000,2011,BGN,1681308217,
21662619033807684,Maserati,Levante,337000,false,true,5,2022,BGN,1681308185,
11680503114458848,VW,Golf,29000,false,true,115900,2015,BGN,1681308252,
11675612368632618,Toyota,Verso,13200,false,true,138533,2014,BGN,1681308240,
11679336437991864,Mazda,2,2999,false,true,80000,2012,BGN,1681308185,
11677317521288462,Opel,Astra,5500,true,true,165000,2005,BGN,1681308111,
11671269764230662,Renault,Clio,19500,false,true,96393,2019,BGN,1681308224,
